;(flair-tagged) sentence;;spaCy - flair;;stanza - flair;;stanza - spaCy
173;"['I_PRON', 'help_VERB', 'to_PART', 'support_VERB', 'the_DET', 'establishments_NOUN', 'I_PRON', 'have_VERB', 'mentioned_VERB', '--_PUNCT', 'they_PRON', 'cost_VERB', 'enough_ADJ', ';_PUNCT', 'and_CCONJ', 'those_DET', 'who_PRON', 'are_VERB', 'badly_ADV', 'off_ADV', 'must_AUX', 'go_VERB', 'there_ADV', '._PUNCT', '""_PUNCT']";25;{'must_VERB', 'enough_ADV', 'are_AUX', 'off_ADP', 'have_AUX'};25;{'enough_ADV', 'are_AUX', 'off_ADP', 'those_PRON', 'have_AUX'};25;{'must_VERB'}
174;"['""_PUNCT', 'Many_ADJ', 'ca_AUX', ""n't_ADV"", 'go_VERB', 'there_ADV', ';_PUNCT', 'and_CCONJ', 'many_ADJ', 'would_AUX', 'rather_ADV', 'die_VERB', '._PUNCT', '""_PUNCT']";14;"{""n't_PART"", 'ca_VERB', 'would_VERB'}";14;"{""n't_PART""}";14;{'ca_VERB', 'would_VERB'}
175;"['""_PUNCT', 'If_ADP', 'they_PRON', 'would_AUX', 'rather_ADV', 'die_VERB', ',""_PUNCT', 'said_VERB', 'Scrooge_PROPN', ',_PUNCT', '""_PUNCT', 'they_PRON', 'had_VERB', 'better_ADV', 'do_VERB', 'it_PRON', ',_PUNCT', 'and_CCONJ', 'decrease_VERB', 'the_DET', 'surplus_NOUN', 'population_NOUN', '._PUNCT']";23;{'do_AUX', 'surplus_ADJ', 'If_SCONJ', 'would_VERB', 'had_AUX'};24;{'had_AUX', 'If_SCONJ'};24;{'do_AUX', 'surplus_ADJ', 'would_VERB'}
176;"['Besides_ADV', '--_PUNCT', 'excuse_VERB', 'me_PRON', '--_PUNCT', 'I_PRON', 'do_VERB', ""n't_ADV"", 'know_VERB', 'that_DET', '._PUNCT', '""_PUNCT']";12;"{'do_AUX', ""n't_PART"", 'Besides_SCONJ'}";12;"{'do_AUX', '-_PUNCT', ""n't_PART"", 'Besides_ADP', 'that_PRON'}";13;{'Besides_SCONJ'}
177;"['""_PUNCT', 'But_CCONJ', 'you_PRON', 'might_AUX', 'know_VERB', 'it_PRON', ',""_PUNCT', 'observed_VERB', 'the_DET', 'gentleman_NOUN', '._PUNCT']";11;{',_PUNCT', 'might_VERB'};12;{',_PUNCT'};12;{'might_VERB'}
178;"['""_PUNCT', 'It_PRON', ""'s_VERB"", 'not_ADV', 'my_PRON', 'business_NOUN', ',""_PUNCT', 'Scrooge_PROPN', 'returned_VERB', '._PUNCT']";10;"{'not_PART', 'my_DET', ""'s_AUX"", ',_PUNCT'}";11;"{'not_PART', ""'s_AUX"", ',_PUNCT'}";11;{'my_DET'}
179;"['""_PUNCT', 'It_PRON', ""'s_VERB"", 'enough_ADJ', 'for_ADP', 'a_DET', 'man_NOUN', 'to_PART', 'understand_VERB', 'his_PRON', 'own_ADJ', 'business_NOUN', ',_PUNCT', 'and_CCONJ', 'not_ADV', 'to_PART', 'interfere_VERB', 'with_ADP', 'other_ADJ', 'people_NOUN', ""'s_PART"", '._PUNCT']";22;"{'not_PART', ""'s_AUX"", 'his_DET'}";22;"{""'s_AUX""}";22;{'not_PART', 'his_DET'}
180;['Mine_PROPN', 'occupies_VERB', 'me_PRON', 'constantly_ADV', '._PUNCT'];5;{'Mine_NOUN'};5;{'Mine_PRON'};5;{'Mine_NOUN'}
181;"['Good_ADJ', 'afternoon_NOUN', ',_PUNCT', 'gentlemen_NOUN', '!_PUNCT', '""_PUNCT']";6;;6;;6;
182;['Seeing_VERB', 'clearly_ADV', 'that_ADP', 'it_PRON', 'would_AUX', 'be_VERB', 'useless_ADJ', 'to_PART', 'pursue_VERB', 'their_PRON', 'point_NOUN', ',_PUNCT', 'the_DET', 'gentlemen_NOUN', 'withdrew_VERB', '._PUNCT'];16;{'that_SCONJ', 'their_DET', 'be_AUX', 'would_VERB'};16;{'that_SCONJ', 'be_AUX'};16;{'their_DET', 'would_VERB'}
183;['Scrooge_PROPN', 'resumed_VERB', 'his_PRON', 'labours_NOUN', 'with_ADP', 'an_DET', 'improved_ADJ', 'opinion_NOUN', 'of_ADP', 'himself_PRON', ',_PUNCT', 'and_CCONJ', 'in_ADP', 'a_DET', 'more_ADV', 'facetious_ADJ', 'temper_NOUN', 'than_ADP', 'was_VERB', 'usual_ADJ', 'with_ADP', 'him_PRON', '._PUNCT'];23;{'than_SCONJ', 'was_AUX', 'his_DET'};23;{'improved_VERB', 'than_SCONJ', 'was_AUX'};23;{'his_DET'}
184;['Meanwhile_ADV', 'the_DET', 'fog_NOUN', 'and_CCONJ', 'darkness_NOUN', 'thickened_VERB', 'so_ADV', ',_PUNCT', 'that_ADP', 'people_NOUN', 'ran_VERB', 'about_ADP', 'with_ADP', 'flaring_VERB', 'links_NOUN', ',_PUNCT', 'proffering_VERB', 'their_PRON', 'services_NOUN', 'to_PART', 'go_VERB', 'before_ADP', 'horses_NOUN', 'in_ADP', 'carriages_NOUN', ',_PUNCT', 'and_CCONJ', 'conduct_VERB', 'them_PRON', 'on_ADP', 'their_PRON', 'way_NOUN', '._PUNCT'];33;{'that_SCONJ', 'about_ADV', 'their_DET'};33;{'that_SCONJ'};33;{'about_ADV', 'their_DET'}
185;['The_DET', 'ancient_ADJ', 'tower_NOUN', 'of_ADP', 'a_DET', 'church_NOUN', ',_PUNCT', 'whose_PRON', 'gruff_ADJ', 'old_ADJ', 'bell_NOUN', 'was_VERB', 'always_ADV', 'peeping_VERB', 'slily_NOUN', 'down_ADP', 'at_ADP', 'Scrooge_PROPN', 'out_ADP', 'of_ADP', 'a_DET', 'Gothic_PROPN', 'window_NOUN', 'in_ADP', 'the_DET', 'wall_NOUN', ',_PUNCT', 'became_VERB', 'invisible_ADJ', ',_PUNCT', 'and_CCONJ', 'struck_VERB', 'the_DET', 'hours_NOUN', 'and_CCONJ', 'quarters_NOUN', 'in_ADP', 'the_DET', 'clouds_NOUN', ',_PUNCT', 'with_ADP', 'tremulous_ADJ', 'vibrations_NOUN', 'afterwards_ADV', ',_PUNCT', 'as_ADP', 'if_ADP', 'its_PRON', 'teeth_NOUN', 'were_VERB', 'chattering_VERB', 'in_ADP', 'its_PRON', 'frozen_ADJ', 'head_NOUN', 'up_ADV', 'there_ADV', '._PUNCT'];58;{'if_SCONJ', 'were_AUX', 'whose_DET', 'as_SCONJ', 'Gothic_ADJ', 'down_ADV', 'was_AUX', 'slily_ADV', 'out_SCONJ', 'its_DET', 'bell_PROPN'};58;{'if_SCONJ', 'were_AUX', 'as_SCONJ', 'Gothic_ADJ', 'down_ADV', 'was_AUX', 's_PART', 'slily_ADV', 'it_PRON'};59;{'out_SCONJ', 'its_DET', 'bell_PROPN', 'whose_DET'}
186;['The_DET', 'cold_NOUN', 'became_VERB', 'intense_ADJ', '._PUNCT'];5;;5;{'cold_ADJ'};5;
187;['In_ADP', 'the_DET', 'main_ADJ', 'street_NOUN', ',_PUNCT', 'at_ADP', 'the_DET', 'corner_NOUN', 'of_ADP', 'the_DET', 'court_NOUN', ',_PUNCT', 'some_DET', 'labourers_NOUN', 'were_VERB', 'repairing_VERB', 'the_DET', 'gas-pipes_NOUN', ',_PUNCT', 'and_CCONJ', 'had_VERB', 'lighted_VERB', 'a_DET', 'great_ADJ', 'fire_NOUN', 'in_ADP', 'a_DET', 'brazier_NOUN', ',_PUNCT', 'round_ADP', 'which_PRON', 'a_DET', 'party_NOUN', 'of_ADP', 'ragged_VERB', 'men_NOUN', 'and_CCONJ', 'boys_NOUN', 'were_VERB', 'gathered_VERB', ':_PUNCT', 'warming_VERB', 'their_PRON', 'hands_NOUN', 'and_CCONJ', 'winking_VERB', 'their_PRON', 'eyes_NOUN', 'before_ADP', 'the_DET', 'blaze_NOUN', 'in_ADP', 'rapture_NOUN', '._PUNCT'];54;{'were_AUX', '-_PUNCT', 'round_NOUN', 'their_DET', 'gas_NOUN', 'which_DET', 'had_AUX', 'pipes_NOUN', 'ragged_ADJ'};56;{'had_AUX', 'were_AUX', 'ragged_ADJ'};54;{'-_PUNCT', 'round_NOUN', 'their_DET', 'gas_NOUN', 'which_DET', 'pipes_NOUN'}
188;['The_DET', 'water-plug_NOUN', 'being_VERB', 'left_VERB', 'in_ADP', 'solitude_NOUN', ',_PUNCT', 'its_PRON', 'overflowings_NOUN', 'suddenly_ADV', 'congealed_VERB', ',_PUNCT', 'and_CCONJ', 'turned_VERB', 'to_ADP', 'misanthropic_ADJ', 'ice_NOUN', '._PUNCT'];18;{'-_PUNCT', 'being_AUX', 'plug_NOUN', 'water_NOUN', 'its_DET'};20;{'plug_NOUN', '-_PUNCT', 'being_AUX', 'water_NOUN'};20;{'its_DET'}
189;['The_DET', 'brightness_NOUN', 'of_ADP', 'the_DET', 'shops_NOUN', ',_PUNCT', 'where_ADV', 'holly_ADJ', 'sprigs_NOUN', 'and_CCONJ', 'berries_NOUN', 'crackled_VERB', 'in_ADP', 'the_DET', 'lamp_NOUN', 'heat_NOUN', 'of_ADP', 'the_DET', 'windows_NOUN', ',_PUNCT', 'made_VERB', 'pale_ADJ', 'faces_NOUN', 'ruddy_ADJ', 'as_ADP', 'they_PRON', 'passed_VERB', '._PUNCT'];28;{'ruddy_PROPN', 'holly_ADV', 'as_SCONJ'};28;{'ruddy_NOUN', 'as_SCONJ'};28;{'holly_ADV', 'ruddy_PROPN'}
190;"[""Poulterers'_ADJ"", 'and_CCONJ', ""grocers'_NOUN"", 'trades_NOUN', 'became_VERB', 'a_DET', 'splendid_ADJ', 'joke_NOUN', ':_PUNCT', 'a_DET', 'glorious_ADJ', 'pageant_NOUN', ',_PUNCT', 'with_ADP', 'which_PRON', 'it_PRON', 'was_VERB', 'next_ADJ', 'to_ADP', 'impossible_ADJ', 'to_PART', 'believe_VERB', 'that_ADP', 'such_ADJ', 'dull_ADJ', 'principles_NOUN', 'as_ADP', 'bargain_NOUN', 'and_CCONJ', 'sale_NOUN', 'had_VERB', 'anything_NOUN', 'to_PART', 'do_VERB', '._PUNCT']";35;"{'do_AUX', 'Poulterers_NOUN', 'as_SCONJ', 'grocers_NOUN', 'was_AUX', 'anything_PRON', ""'_PART"", 'which_DET', 'had_AUX', 'that_SCONJ'}";37;"{'Poulterers_NOUN', 'grocers_NOUN', 'was_AUX', 'anything_PRON', 'next_ADV', ""'_PUNCT"", ""'_PART"", 'that_SCONJ'}";37;{'do_AUX', 'had_AUX', 'which_DET', 'as_SCONJ'}
191;"['The_DET', 'Lord_PROPN', 'Mayor_PROPN', ',_PUNCT', 'in_ADP', 'the_DET', 'stronghold_NOUN', 'of_ADP', 'the_DET', 'mighty_ADJ', 'Mansion_PROPN', 'House_PROPN', ',_PUNCT', 'gave_VERB', 'orders_NOUN', 'to_ADP', 'his_PRON', 'fifty_NUM', 'cooks_NOUN', 'and_CCONJ', 'butlers_NOUN', 'to_PART', 'keep_VERB', 'Christmas_PROPN', 'as_ADP', 'a_DET', 'Lord_PROPN', 'Mayor_PROPN', ""'s_PART"", 'household_NOUN', 'should_AUX', ';_PUNCT', 'and_CCONJ', 'even_ADV', 'the_DET', 'little_ADJ', 'tailor_NOUN', ',_PUNCT', 'whom_PRON', 'he_PRON', 'had_VERB', 'fined_VERB', 'five_NUM', 'shillings_NOUN', 'on_ADP', 'the_DET', 'previous_ADJ', 'Monday_PROPN', 'for_ADP', 'being_VERB', 'drunk_ADJ', 'and_CCONJ', 'blood-thirsty_ADJ', 'in_ADP', 'the_DET', 'streets_NOUN', ',_PUNCT', 'stirred_VERB', 'up_ADP', 'to-morrow_NOUN', ""'s_PART"", 'pudding_NOUN', 'in_ADP', 'his_PRON', 'garret_NOUN', ',_PUNCT', 'while_ADP', 'his_PRON', 'lean_ADJ', 'wife_NOUN', 'and_CCONJ', 'the_DET', 'baby_NOUN', 'sallied_VERB', 'out_ADP', 'to_PART', 'buy_VERB', 'the_DET', 'beef_NOUN', '._PUNCT']";80;{'his_DET', 'thirsty_NOUN', 'as_SCONJ', 'blood_NOUN', '-_PUNCT', 'being_AUX', 'should_VERB', 'morrow_PROPN', 'had_AUX', 'while_SCONJ'};84;{'to-_ADP', 'mighty_PROPN', 'blood_NOUN', '-_PUNCT', 'being_AUX', 'for_SCONJ', 'morrow_PROPN', 'had_AUX', 'thirsty_ADJ', 'while_SCONJ'};83;{'as_SCONJ', 'should_VERB', 'his_DET', 'thirsty_NOUN'}
192;['Foggier_PROPN', 'yet_ADV', ',_PUNCT', 'and_CCONJ', 'colder_ADJ', '!_PUNCT'];6;{'Foggier_ADV'};6;;6;{'Foggier_ADV'}
193;['Piercing_PROPN', ',_PUNCT', 'searching_VERB', ',_PUNCT', 'biting_VERB', 'cold_ADJ', '._PUNCT'];7;{'Piercing_VERB', 'cold_NOUN'};7;{'Piercing_NOUN'};7;{'Piercing_VERB', 'cold_NOUN'}
194;"['If_ADP', 'the_DET', 'good_ADJ', 'St._PROPN', 'Dunstan_PROPN', 'had_VERB', 'but_CCONJ', 'nipped_VERB', 'the_DET', 'Evil_PROPN', 'Spirit_PROPN', ""'s_PART"", 'nose_NOUN', 'with_ADP', 'a_DET', 'touch_NOUN', 'of_ADP', 'such_ADJ', 'weather_NOUN', 'as_ADP', 'that_DET', ',_PUNCT', 'instead_ADV', 'of_ADP', 'using_VERB', 'his_PRON', 'familiar_ADJ', 'weapons_NOUN', ',_PUNCT', 'then_ADV', 'indeed_ADV', 'he_PRON', 'would_AUX', 'have_VERB', 'roared_VERB', 'to_ADP', 'lusty_ADJ', 'purpose_NOUN', '._PUNCT']";39;{'his_DET', 'as_SCONJ', 'If_SCONJ', 'would_VERB', 'had_AUX', 'have_AUX'};39;{'had_AUX', 'of_SCONJ', 'If_SCONJ', 'that_PRON', 'have_AUX'};39;{'would_VERB', 'his_DET', 'as_SCONJ'}
195;"['The_DET', 'owner_NOUN', 'of_ADP', 'one_NUM', 'scant_ADJ', 'young_ADJ', 'nose_NOUN', ',_PUNCT', 'gnawed_VERB', 'and_CCONJ', 'mumbled_VERB', 'by_ADP', 'the_DET', 'hungry_ADJ', 'cold_ADJ', 'as_ADP', 'bones_NOUN', 'are_VERB', 'gnawed_VERB', 'by_ADP', 'dogs_NOUN', ',_PUNCT', 'stooped_VERB', 'down_ADP', 'at_ADP', 'Scrooge_PROPN', ""'s_PART"", 'keyhole_NOUN', 'to_PART', 'regale_VERB', 'him_PRON', 'with_ADP', 'a_DET', 'Christmas_PROPN', 'carol_NOUN', ';_PUNCT', 'but_CCONJ', ',_PUNCT', 'at_ADP', 'the_DET', 'first_ADJ', 'sound_NOUN', 'of_ADP', '""_PUNCT', 'God_PROPN', 'bless_VERB', 'you_PRON', ',_PUNCT', 'merry_ADJ', 'gentleman_NOUN', ',_PUNCT', 'May_AUX', 'nothing_NOUN', 'you_PRON', 'dismay_VERB', '!_PUNCT', '""_PUNCT']";57;{'gentleman_PROPN', 'as_SCONJ', 'May_VERB', 'cold_NOUN', 'are_AUX', 'nothing_PRON', 'merry_PROPN'};57;{'carol_PROPN', 'May_PROPN', 'as_SCONJ', 'are_AUX', 'nothing_PRON'};57;{'gentleman_PROPN', 'merry_PROPN', 'May_VERB', 'cold_NOUN'}
196;['Scrooge_PROPN', 'seized_VERB', 'the_DET', 'ruler_NOUN', 'with_ADP', 'such_ADJ', 'energy_NOUN', 'of_ADP', 'action_NOUN', ',_PUNCT', 'that_ADP', 'the_DET', 'singer_NOUN', 'fled_VERB', 'in_ADP', 'terror_NOUN', ',_PUNCT', 'leaving_VERB', 'the_DET', 'keyhole_NOUN', 'to_ADP', 'the_DET', 'fog_NOUN', ',_PUNCT', 'and_CCONJ', 'even_ADV', 'more_ADV', 'congenial_ADJ', 'frost_NOUN', '._PUNCT'];30;{'that_SCONJ'};30;{'that_SCONJ'};30;
197;['At_ADP', 'length_NOUN', 'the_DET', 'hour_NOUN', 'of_ADP', 'shutting_VERB', 'up_ADP', 'the_DET', 'counting-house_NOUN', 'arrived_VERB', '._PUNCT'];11;{'counting_NOUN', 'house_NOUN', '-_PUNCT'};13;{'counting_NOUN', 'house_NOUN', '-_PUNCT', 'of_SCONJ'};13;
198;['With_ADP', 'an_DET', 'ill-will_NOUN', 'Scrooge_PROPN', 'dismounted_VERB', 'from_ADP', 'his_PRON', 'stool_NOUN', ',_PUNCT', 'and_CCONJ', 'tacitly_ADV', 'admitted_VERB', 'the_DET', 'fact_NOUN', 'to_ADP', 'the_DET', 'expectant_ADJ', 'clerk_NOUN', 'in_ADP', 'the_DET', 'tank_NOUN', ',_PUNCT', 'who_PRON', 'instantly_ADV', 'snuffed_VERB', 'his_PRON', 'candle_NOUN', 'out_ADP', ',_PUNCT', 'and_CCONJ', 'put_VERB', 'on_ADP', 'his_PRON', 'hat_NOUN', '._PUNCT'];35;{'ill_NOUN', '-_PUNCT', 'his_DET', 'will_VERB'};37;{'ill_ADJ', '-_PUNCT', 'will_NOUN', 'expectant_NOUN'};37;{'ill_NOUN', 'his_DET', 'will_VERB'}
199;"['""_PUNCT', 'You_PRON', ""'ll_AUX"", 'want_VERB', 'all_DET', 'day_NOUN', 'to-morrow_NOUN', ',_PUNCT', 'I_PRON', 'suppose_VERB', '?_PUNCT', '""_PUNCT']";12;"{'to_ADP', ""'ll_VERB"", '-_PUNCT', 'morrow_NOUN'}";14;{'to_ADP', '-_PUNCT', 'morrow_PROPN'};14;"{""'ll_VERB"", 'morrow_NOUN'}"
200;['said_VERB', 'Scrooge_PROPN', '._PUNCT'];3;;3;;3;
201;"['""_PUNCT', 'If_ADP', 'quite_ADV', 'convenient_ADJ', ',_PUNCT', 'sir_PROPN', '._PUNCT', '""_PUNCT']";8;{'sir_NOUN', 'If_SCONJ'};8;{'If_SCONJ'};8;{'sir_NOUN'}
202;"['""_PUNCT', 'It_PRON', ""'s_VERB"", 'not_ADV', 'convenient_ADJ', ',""_PUNCT', 'said_VERB', 'Scrooge_PROPN', ',_PUNCT', '""_PUNCT', 'and_CCONJ', 'it_PRON', ""'s_VERB"", 'not_ADV', 'fair_ADJ', '._PUNCT']";16;"{'not_PART', ""'s_AUX""}";17;"{'not_PART', ""'s_AUX""}";17;
203;"['If_ADP', 'I_PRON', 'was_VERB', 'to_PART', 'stop_VERB', 'half-a-crown_NOUN', 'for_ADP', 'it_PRON', ',_PUNCT', 'you_PRON', ""'d_AUX"", 'think_VERB', 'yourself_PRON', 'ill_ADV', 'used_VERB', ',_PUNCT', 'I_PRON', ""'ll_AUX"", 'be_VERB', 'bound_VERB', '?_PUNCT', '""_PUNCT']";22;"{""'ll_VERB"", 'a_DET', 'be_AUX', '-_PUNCT', 'If_SCONJ', ""'d_VERB"", 'was_AUX', 'crown_NOUN', 'half_ADJ'}";26;{'half_NOUN', 'be_AUX', '-_PUNCT', 'If_SCONJ', 'crown_NOUN', 'a-_NOUN', 'bound_ADJ'};25;"{'a_DET', ""'ll_VERB"", 'was_AUX', ""'d_VERB"", 'half_ADJ'}"
204;['The_DET', 'clerk_NOUN', 'smiled_VERB', 'faintly_ADV', '._PUNCT'];5;;5;;5;
205;"['""_PUNCT', 'And_CCONJ', 'yet_ADV', ',""_PUNCT', 'said_VERB', 'Scrooge_PROPN', ',_PUNCT', '""_PUNCT', 'you_PRON', 'do_VERB', ""n't_ADV"", 'think_VERB', '__SYM', 'me_PRON', '__PUNCT', 'ill_ADV', 'used_VERB', 'when_ADV', 'I_PRON', 'pay_VERB', 'a_DET', 'day_NOUN', ""'s_PART"", 'wages_NOUN', 'for_ADP', 'no_DET', 'work_NOUN', '._PUNCT', '""_PUNCT']";29;"{'do_AUX', '__ADP', ""n't_PART"", '__PROPN'}";30;"{'do_AUX', ""n't_PART"", '_me_SYM'}";29;{'__ADP', '__PROPN'}
206;['The_DET', 'clerk_NOUN', 'observed_VERB', 'that_ADP', 'it_PRON', 'was_VERB', 'only_ADV', 'once_ADV', 'a_DET', 'year_NOUN', '._PUNCT'];11;{'that_SCONJ', 'was_AUX'};11;{'that_SCONJ', 'was_AUX'};11;
207;"['""_PUNCT', 'A_DET', 'poor_ADJ', 'excuse_NOUN', 'for_ADP', 'picking_VERB', 'a_DET', 'man_NOUN', ""'s_PART"", 'pocket_NOUN', 'every_DET', 'twenty-fifth_NOUN', 'of_ADP', 'December_PROPN', '!_PUNCT', '""_PUNCT']";16;{'fifth_NOUN', '-_PUNCT', 'twenty_NUM'};18;{'fifth_NOUN', 'for_SCONJ', '-_PUNCT', 'twenty_NUM'};18;
208;['said_VERB', 'Scrooge_PROPN', ',_PUNCT', 'buttoning_VERB', 'his_PRON', 'great-coat_NOUN', 'to_ADP', 'the_DET', 'chin_NOUN', '._PUNCT'];10;{'great_ADJ', '-_PUNCT', 'his_DET', 'coat_NOUN'};12;{'great_ADJ', '-_PUNCT', 'coat_NOUN'};12;{'his_DET'}
209;"['""_PUNCT', 'But_CCONJ', 'I_PRON', 'suppose_VERB', 'you_PRON', 'must_AUX', 'have_VERB', 'the_DET', 'whole_ADJ', 'day_NOUN', '._PUNCT']";11;{'must_VERB', 'have_AUX'};11;;11;{'must_VERB', 'have_AUX'}
210;"['Be_VERB', 'here_ADV', 'all_DET', 'the_DET', 'earlier_NOUN', 'next_ADJ', 'morning_NOUN', '._PUNCT', '""_PUNCT']";9;{'earlier_ADV', 'Be_AUX'};9;{'earlier_ADV', 'Be_AUX'};9;
211;"['The_DET', 'clerk_NOUN', 'promised_VERB', 'that_ADP', 'he_PRON', 'would_AUX', ';_PUNCT', 'and_CCONJ', 'Scrooge_PROPN', 'walked_VERB', 'out_ADP', 'with_ADP', 'a_DET', 'growl_NOUN', '._PUNCT']";15;{'that_SCONJ', 'would_VERB'};15;{'out_ADV', 'that_SCONJ'};15;{'would_VERB'}
212;"['The_DET', 'office_NOUN', 'was_VERB', 'closed_VERB', 'in_ADP', 'a_DET', 'twinkling_NOUN', ',_PUNCT', 'and_CCONJ', 'the_DET', 'clerk_NOUN', ',_PUNCT', 'with_ADP', 'the_DET', 'long_ADJ', 'ends_NOUN', 'of_ADP', 'his_PRON', 'white_ADJ', 'comforter_NOUN', 'dangling_VERB', 'below_ADP', 'his_PRON', 'waist_NOUN', '(_PUNCT', 'for_ADP', 'he_PRON', 'boasted_VERB', 'no_DET', 'great-coat_NOUN', ')_PUNCT', ',_PUNCT', 'went_VERB', 'down_ADP', 'a_DET', 'slide_NOUN', 'on_ADP', 'Cornhill_PROPN', ',_PUNCT', 'at_ADP', 'the_DET', 'end_NOUN', 'of_ADP', 'a_DET', 'lane_NOUN', 'of_ADP', 'boys_NOUN', ',_PUNCT', 'twenty_NUM', 'times_NOUN', ',_PUNCT', 'in_ADP', 'honour_NOUN', 'of_ADP', 'its_PRON', 'being_VERB', 'Christmas-eve_PROPN', ',_PUNCT', 'and_CCONJ', 'then_ADV', 'ran_VERB', 'home_ADV', 'to_ADP', 'Camden_PROPN', 'Town_PROPN', 'as_ADV', 'hard_ADV', 'as_ADP', 'he_PRON', 'could_AUX', 'pelt_VERB', ',_PUNCT', 'to_PART', 'play_VERB', 'at_ADP', 'blindman_NOUN', ""'s_PART"", 'buff_NOUN', '._PUNCT']";79;{'Christmas_PROPN', 'blindman_PROPN', 'his_DET', 'as_SCONJ', 'eve_PROPN', '-_PUNCT', 'was_AUX', 'down_ADV', 'being_AUX', 'coat_NOUN', 'great_ADJ', 'buff_PROPN', 'could_VERB', 'its_DET'};83;{'Christmas_PROPN', 'as_SCONJ', '-_PUNCT', 'was_AUX', 'being_AUX', 'coat_NOUN', 'great_ADJ', 'for_SCONJ', 'eve_NOUN'};83;{'blindman_PROPN', 'his_DET', 'eve_PROPN', 'down_ADV', 'buff_PROPN', 'could_VERB', 'its_DET'}
213;"['Scrooge_PROPN', 'took_VERB', 'his_PRON', 'melancholy_ADJ', 'dinner_NOUN', 'in_ADP', 'his_PRON', 'usual_ADJ', 'melancholy_ADJ', 'tavern_NOUN', ';_PUNCT', 'and_CCONJ', 'having_VERB', 'read_VERB', 'all_DET', 'the_DET', 'newspapers_NOUN', ',_PUNCT', 'and_CCONJ', 'beguiled_VERB', 'the_DET', 'rest_NOUN', 'of_ADP', 'the_DET', 'evening_NOUN', 'with_ADP', 'his_PRON', 'banker_NOUN', ""'s_PART"", 'book_NOUN', ',_PUNCT', 'went_VERB', 'home_ADV', 'to_ADP', 'bed_NOUN', '._PUNCT']";36;{'his_DET'};36;{'we_PRON', 'having_AUX', 'nt_PART'};37;{'his_DET'}
214;['He_PRON', 'lived_VERB', 'in_ADP', 'chambers_NOUN', 'which_PRON', 'had_VERB', 'once_ADV', 'belonged_VERB', 'to_ADP', 'his_PRON', 'deceased_ADJ', 'partner_NOUN', '._PUNCT'];13;{'had_AUX', 'his_DET', 'which_DET'};13;{'had_AUX'};13;{'his_DET', 'which_DET'}
215;['They_PRON', 'were_VERB', 'a_DET', 'gloomy_ADJ', 'suite_NOUN', 'of_ADP', 'rooms_NOUN', ',_PUNCT', 'in_ADP', 'a_DET', 'lowering_VERB', 'pile_NOUN', 'of_ADP', 'building_VERB', 'up_ADP', 'a_DET', 'yard_NOUN', ',_PUNCT', 'where_ADV', 'it_PRON', 'had_VERB', 'so_ADV', 'little_ADJ', 'business_NOUN', 'to_PART', 'be_VERB', ',_PUNCT', 'that_ADP', 'one_PRON', 'could_AUX', 'scarcely_ADV', 'help_VERB', 'fancying_VERB', 'it_PRON', 'must_AUX', 'have_VERB', 'run_VERB', 'there_ADV', 'when_ADV', 'it_PRON', 'was_VERB', 'a_DET', 'young_ADJ', 'house_NOUN', ',_PUNCT', 'playing_VERB', 'at_ADP', 'hide-and-seek_NOUN', 'with_ADP', 'other_ADJ', 'houses_NOUN', ',_PUNCT', 'and_CCONJ', 'have_VERB', 'forgotten_VERB', 'the_DET', 'way_NOUN', 'out_ADV', 'again_ADV', '._PUNCT'];60;{'must_VERB', 'were_AUX', 'be_AUX', '-_PUNCT', 'was_AUX', 'building_NOUN', 'seek_NOUN', 'hide_VERB', 'could_VERB', 'had_AUX', 'that_SCONJ', 'have_AUX'};64;{'were_AUX', 'be_AUX', 'of_SCONJ', 'one_NOUN', 'lowering_NOUN', '-_PUNCT', 'was_AUX', 'seek_VERB', 'hide_NOUN', 'that_SCONJ', 'have_AUX'};64;{'must_VERB', 'building_NOUN', 'seek_NOUN', 'hide_VERB', 'could_VERB', 'had_AUX'}
216;"['It_PRON', 'was_VERB', 'old_ADJ', 'enough_ADV', 'now_ADV', ',_PUNCT', 'and_CCONJ', 'dreary_ADJ', 'enough_ADV', ';_PUNCT', 'for_ADP', 'nobody_NOUN', 'lived_VERB', 'in_ADP', 'it_PRON', 'but_CCONJ', 'Scrooge_PROPN', ',_PUNCT', 'the_DET', 'other_ADJ', 'rooms_NOUN', 'being_VERB', 'all_DET', 'let_VERB', 'out_ADP', 'as_ADP', 'offices_NOUN', '._PUNCT']";28;{'nobody_PRON', 'was_AUX', 'being_AUX', 'as_SCONJ'};28;{'was_AUX', 'being_AUX', 'all_ADV', 'nobody_PRON', 'enough_ADJ'};28;{'as_SCONJ'}
217;['The_DET', 'yard_NOUN', 'was_VERB', 'so_ADV', 'dark_ADJ', 'that_ADP', 'even_ADV', 'Scrooge_PROPN', ',_PUNCT', 'who_PRON', 'knew_VERB', 'its_PRON', 'every_DET', 'stone_NOUN', ',_PUNCT', 'was_VERB', 'fain_ADJ', 'to_PART', 'grope_VERB', 'with_ADP', 'his_PRON', 'hands_NOUN', '._PUNCT'];23;{'fain_VERB', 'his_DET', 'was_AUX', 'that_SCONJ', 'its_DET'};23;{'that_SCONJ', 'was_AUX'};23;{'fain_VERB', 'its_DET', 'his_DET'}
